Epoch,Train Loss,Train Dice,Train IoU,Val Loss,Val Dice,Val IoU
1,0.404986,0.636206,0.473897,0.374707,0.614648,0.451213
2,0.292590,0.729223,0.579493,0.293876,0.708235,0.555456
3,0.247400,0.769626,0.630166,0.398875,0.584110,0.420171
4,0.213030,0.803177,0.676273,0.212615,0.776140,0.636971
5,0.194579,0.825332,0.708229,0.269216,0.759074,0.619476
6,0.200780,0.815237,0.693463,0.291456,0.724053,0.576506
7,0.159216,0.855476,0.752181,0.198081,0.800817,0.677595
8,0.153400,0.858119,0.756995,0.217356,0.787512,0.654507
9,0.154541,0.857821,0.756343,0.254204,0.749717,0.607053
10,0.157443,0.857397,0.753632,0.182701,0.809251,0.686243
11,0.120624,0.894602,0.811688,0.215083,0.783609,0.651622
12,0.117418,0.892622,0.809235,0.197420,0.806428,0.681979
13,0.118819,0.894082,0.811886,0.191918,0.817941,0.697327
14,0.109237,0.903818,0.827081,0.213492,0.783567,0.653799
15,0.102994,0.903118,0.825497,0.195161,0.810720,0.688195
16,0.073983,0.932670,0.875026,0.216464,0.787166,0.658949
17,0.088333,0.922388,0.858001,0.381984,0.698189,0.549537
18,0.097764,0.911753,0.840264,0.258226,0.767470,0.635005
19,0.093398,0.916085,0.846934,0.221384,0.780496,0.646939
20,0.104707,0.907396,0.833821,0.422486,0.637748,0.476624
21,0.116626,0.892251,0.809742,0.270635,0.763141,0.624949
22,0.082903,0.926110,0.864461,0.249369,0.764003,0.627807
23,0.076992,0.930582,0.871464,0.241844,0.755011,0.617399
24,0.065789,0.942412,0.891789,0.204522,0.802352,0.677122
25,0.050640,0.955602,0.915349,0.159502,0.848455,0.741030
26,0.044257,0.962497,0.927952,0.160756,0.855130,0.750205
27,0.041992,0.963989,0.930621,0.168065,0.851242,0.745531
28,0.038822,0.966847,0.935943,0.161763,0.860959,0.759403
29,0.036589,0.967655,0.937451,0.156322,0.866416,0.767614
30,0.034454,0.969546,0.940999,0.170076,0.847476,0.742319
31,0.032607,0.971180,0.944075,0.165800,0.851736,0.747322
32,0.031005,0.972940,0.947402,0.179755,0.843668,0.736292
33,0.029354,0.974858,0.951014,0.178430,0.851192,0.747447
34,0.030339,0.973377,0.948251,0.167365,0.853630,0.749706
35,0.028992,0.974489,0.950331,0.166770,0.853817,0.749046
36,0.031175,0.972373,0.946455,0.179860,0.846832,0.739314
37,0.029147,0.974415,0.950179,0.175742,0.853502,0.749969
38,0.027528,0.975892,0.952965,0.204882,0.836290,0.726855
39,0.024949,0.978328,0.957618,0.191251,0.847050,0.742105
40,0.022967,0.979843,0.960511,0.182406,0.851414,0.746649
41,0.021646,0.981003,0.962740,0.187712,0.851765,0.746907
42,0.020803,0.981823,0.964316,0.189755,0.851986,0.747614
43,0.021141,0.981151,0.963057,0.211747,0.837319,0.726423
44,0.020486,0.982146,0.964936,0.206650,0.840790,0.731463
45,0.019740,0.982816,0.966235,0.208991,0.841919,0.733396
46,0.018667,0.983777,0.968087,0.204528,0.843767,0.735063
47,0.018537,0.983599,0.967750,0.197163,0.846141,0.738980
48,0.018807,0.983601,0.967744,0.217027,0.835616,0.725201
49,0.017889,0.984311,0.969121,0.214930,0.839074,0.730110
50,0.017272,0.984725,0.969926,0.217017,0.840048,0.731255
51,0.016809,0.985160,0.970766,0.208882,0.842759,0.734932
52,0.015913,0.985968,0.972336,0.219270,0.841198,0.733197
53,0.016079,0.985694,0.971805,0.208925,0.842418,0.734573
54,0.015406,0.986340,0.973061,0.214159,0.841852,0.733998
55,0.015093,0.986774,0.973903,0.218772,0.842260,0.734615
56,0.014673,0.987121,0.974577,0.213035,0.844170,0.737230
57,0.014707,0.987015,0.974372,0.218476,0.842798,0.735397
58,0.014241,0.987395,0.975111,0.216107,0.843594,0.736396
59,0.014925,0.986815,0.973980,0.224869,0.836550,0.726880
60,0.014217,0.987224,0.974780,0.217480,0.842704,0.734617
61,0.014134,0.987477,0.975271,0.218958,0.841965,0.733898
62,0.013419,0.988122,0.976530,0.215290,0.846228,0.739393
63,0.012959,0.988612,0.977485,0.217949,0.844995,0.737736
64,0.013216,0.988260,0.976798,0.208149,0.850086,0.744588
65,0.012644,0.988709,0.977676,0.215304,0.847054,0.740234
66,0.012560,0.988899,0.978046,0.218130,0.846880,0.740152
67,0.012526,0.988789,0.977835,0.219384,0.846998,0.740182
68,0.012342,0.989019,0.978282,0.225549,0.843361,0.735433
69,0.012121,0.989212,0.978660,0.222457,0.845508,0.738316
70,0.012043,0.989266,0.978766,0.222668,0.846253,0.739046
71,0.011993,0.989397,0.979021,0.224752,0.844579,0.737001
72,0.011876,0.989390,0.979008,0.221529,0.848027,0.741583
73,0.011961,0.989309,0.978852,0.227577,0.844096,0.736301
74,0.011457,0.989828,0.979867,0.232792,0.841481,0.733015
75,0.011348,0.989963,0.980129,0.226293,0.847266,0.740636
76,0.011186,0.990145,0.980486,0.234226,0.843204,0.735273
77,0.011301,0.989947,0.980099,0.232260,0.844356,0.736681
78,0.011101,0.990150,0.980496,0.230904,0.844521,0.737022
79,0.011003,0.990244,0.980680,0.231351,0.845229,0.737488
80,0.010984,0.990290,0.980770,0.230832,0.845554,0.738152
81,0.010852,0.990437,0.981058,0.230993,0.845426,0.737976
82,0.010793,0.990450,0.981084,0.231499,0.844908,0.737410
83,0.010816,0.990377,0.980942,0.243953,0.838353,0.728743
84,0.010757,0.990497,0.981177,0.234449,0.844478,0.736942
85,0.010766,0.990434,0.981056,0.227602,0.848147,0.741670
86,0.010541,0.990651,0.981477,0.241030,0.839213,0.729881
87,0.010521,0.990689,0.981553,0.234476,0.844641,0.737010
88,0.010483,0.990719,0.981613,0.233733,0.846128,0.738872
89,0.010582,0.990481,0.981147,0.231337,0.846660,0.739669
90,0.010395,0.990764,0.981700,0.236966,0.843534,0.735527
91,0.010407,0.990738,0.981651,0.237220,0.844680,0.736995
92,0.010437,0.990748,0.981669,0.234842,0.844989,0.737579
93,0.010573,0.990623,0.981424,0.230765,0.846801,0.739724
94,0.010242,0.990921,0.982008,0.232837,0.846720,0.739782
95,0.010242,0.990879,0.981926,0.236670,0.844973,0.737501
96,0.010104,0.991081,0.982322,0.234038,0.845909,0.738566
97,0.010104,0.991070,0.982301,0.234058,0.846463,0.739338
98,0.010166,0.990954,0.982074,0.233317,0.846894,0.739889
