Epoch,Train Loss,Train Dice,Train IoU,Val Loss,Val Dice,Val IoU
1,0.603909,0.000000,0.000000,0.570526,0.000000,0.000000
2,0.558892,0.000000,0.000000,0.574076,0.000000,0.000000
3,0.559843,0.185542,0.113610,0.565612,0.000000,0.000000
4,0.597149,0.155294,0.096285,0.560864,0.000000,0.000000
5,0.556078,0.240292,0.150351,0.551252,0.404107,0.256447
6,0.554613,0.286362,0.180711,0.558141,0.409077,0.259753
7,0.550935,0.377112,0.237454,0.553212,0.409707,0.260869
8,0.549429,0.388961,0.244862,0.551250,0.404955,0.256902
9,0.550292,0.386330,0.244578,0.546555,0.325313,0.197448
10,0.550195,0.373139,0.234245,0.543414,0.392300,0.248151
11,0.557083,0.364910,0.229776,0.548244,0.302348,0.181433
12,0.551825,0.364393,0.228703,0.543363,0.310379,0.188378
13,0.549459,0.385794,0.243032,0.556694,0.401114,0.253925
14,0.545598,0.383947,0.242719,0.547691,0.283243,0.169298
15,0.548308,0.388121,0.244471,0.543245,0.352944,0.218400
16,0.546317,0.386853,0.243371,0.539335,0.365473,0.227745
17,0.545329,0.384162,0.241364,0.540129,0.358992,0.223493
18,0.542943,0.396484,0.252074,0.542894,0.419738,0.269140
19,0.540240,0.409202,0.261590,0.528355,0.397509,0.253413
20,0.526294,0.431583,0.280588,0.504567,0.439581,0.286659
21,0.599126,0.231237,0.144010,0.540655,0.335268,0.205921
22,0.547125,0.379752,0.239417,0.553201,0.275578,0.163241
23,0.545082,0.386934,0.244572,0.543013,0.390666,0.245957
24,0.544649,0.392747,0.248237,0.538247,0.384652,0.242387
25,0.546350,0.386414,0.243010,0.539505,0.316867,0.192642
26,0.544932,0.383183,0.241493,0.541515,0.398875,0.252541
27,0.543249,0.381433,0.242952,0.549026,0.204243,0.116332
28,0.543999,0.384592,0.241085,0.536397,0.393490,0.249236
29,0.541376,0.396148,0.250948,0.538725,0.324252,0.198148
30,0.541690,0.382506,0.241148,0.539469,0.375212,0.234604
31,0.543552,0.387696,0.246094,0.543115,0.401218,0.254397
32,0.540164,0.403565,0.256419,0.538896,0.362135,0.225194
33,0.539351,0.395345,0.250367,0.542981,0.413955,0.264479
34,0.537558,0.401776,0.255407,0.536638,0.329934,0.202245
35,0.538841,0.396552,0.250541,0.538701,0.401165,0.254656
36,0.537485,0.397089,0.251585,0.541887,0.402432,0.255547
37,0.539769,0.395672,0.251249,0.538493,0.384541,0.241986
38,0.538802,0.397620,0.252634,0.537230,0.400511,0.254625
39,0.536565,0.400852,0.255082,0.537028,0.404200,0.257378
40,0.535887,0.402702,0.255600,0.535008,0.339625,0.209420
41,0.538742,0.392762,0.248502,0.533120,0.367511,0.229737
42,0.540368,0.394542,0.250727,0.536630,0.359209,0.223091
43,0.535640,0.392830,0.248295,0.536656,0.408984,0.260864
44,0.534872,0.406378,0.259403,0.538084,0.415886,0.266203
45,0.535705,0.400477,0.254127,0.534055,0.358110,0.222490
46,0.534523,0.401319,0.255016,0.533707,0.332854,0.203948
47,0.534016,0.404210,0.255927,0.534607,0.405187,0.258042
48,0.533824,0.405187,0.260096,0.534082,0.378786,0.237991
49,0.534006,0.411177,0.262719,0.541331,0.423328,0.272110
50,0.534022,0.406145,0.258870,0.532780,0.363247,0.226381
51,0.532849,0.415868,0.266407,0.535572,0.335114,0.205687
52,0.532620,0.411076,0.263898,0.533839,0.370695,0.231715
53,0.532244,0.405876,0.257489,0.532074,0.385818,0.243295
54,0.530298,0.418005,0.268158,0.532089,0.335273,0.205434
55,0.530712,0.414928,0.265137,0.531789,0.394638,0.250158
56,0.529761,0.416955,0.267015,0.530762,0.391789,0.247923
57,0.529315,0.421612,0.270786,0.530417,0.369729,0.231043
58,0.529450,0.417385,0.267454,0.529899,0.374663,0.234897
59,0.528973,0.414288,0.264686,0.534868,0.421239,0.270643
60,0.528435,0.422582,0.271143,0.530238,0.398123,0.252807
61,0.528205,0.417597,0.267703,0.531415,0.405173,0.258165
62,0.529155,0.420664,0.270880,0.530997,0.395801,0.250703
63,0.528444,0.416781,0.267279,0.531527,0.412403,0.263812
64,0.527818,0.419830,0.269772,0.530752,0.371490,0.231996
65,0.526886,0.422186,0.270797,0.529287,0.384955,0.242592
66,0.527638,0.421263,0.270631,0.529499,0.389246,0.245792
67,0.526692,0.424850,0.273282,0.530531,0.405883,0.258653
68,0.526192,0.420479,0.269976,0.530752,0.409625,0.261620
69,0.526132,0.429609,0.276883,0.530263,0.406730,0.259369
70,0.525599,0.421854,0.271873,0.532781,0.420455,0.270077
71,0.525753,0.427444,0.277091,0.528422,0.400157,0.254334
72,0.524909,0.430305,0.278202,0.528834,0.405579,0.258623
73,0.525357,0.424833,0.273599,0.528565,0.398425,0.252865
74,0.524590,0.426285,0.273900,0.529024,0.404567,0.257717
75,0.524776,0.423307,0.273150,0.528178,0.397018,0.251781
76,0.524189,0.430783,0.278133,0.527871,0.393464,0.249036
77,0.523852,0.431646,0.278671,0.528227,0.400399,0.254414
78,0.523725,0.429902,0.277594,0.527580,0.394831,0.250087
79,0.523727,0.425922,0.273733,0.530317,0.413470,0.264547
80,0.523686,0.434983,0.280277,0.528852,0.407864,0.260221
81,0.523585,0.428229,0.275699,0.528540,0.407168,0.259665
82,0.523160,0.431101,0.277961,0.528033,0.403360,0.256697
83,0.523258,0.430635,0.279044,0.527786,0.401572,0.255316
84,0.523103,0.429380,0.276336,0.529051,0.410793,0.262480
85,0.522924,0.428824,0.275966,0.528374,0.407665,0.260050
86,0.522986,0.427101,0.276038,0.527412,0.399476,0.253672
87,0.522477,0.431823,0.278823,0.528051,0.405197,0.258101
88,0.522363,0.433770,0.279977,0.527638,0.400641,0.254509
89,0.522324,0.434316,0.280438,0.527440,0.399217,0.253391
90,0.522333,0.431193,0.277407,0.527700,0.402368,0.255870
91,0.522405,0.432719,0.280012,0.527628,0.402900,0.256284
92,0.522283,0.426011,0.274397,0.528265,0.407259,0.259677
93,0.522374,0.435187,0.281500,0.527695,0.402923,0.256265
94,0.522030,0.432330,0.279287,0.527229,0.399019,0.253202
95,0.522112,0.428650,0.276971,0.527617,0.403562,0.256758
96,0.521923,0.432330,0.278841,0.527424,0.402343,0.255793
97,0.522139,0.432377,0.279515,0.527589,0.403335,0.256587
98,0.521744,0.434874,0.281556,0.527473,0.402398,0.255834
99,0.521821,0.432190,0.279099,0.527560,0.403122,0.256388
100,0.521804,0.435666,0.281434,0.527353,0.401389,0.255036
